id,name,family,safety,suggested_ns_color,confidence,reason
"8086e56a-141d-4c0e-b889-fc9db1b5e6e2","Kettlebell Side Swing","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"1fc4a9c3-8e89-44ab-97a2-a5ba4404700a","Bridge &amp; Reach","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"f8d2d52a-8f44-4e1e-9e38-c44f0757156d","Turkish Get Up","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"eaa46f7a-bc87-46e2-b993-cae80c5e9181","Infraspinatus Massage","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"096d15bb-ab39-47f9-a250-646bd2576e47","SPIRAL LINE (SpL) - Station 3: Serratus anterior","Mobility","yellow","Green","medium","movement family 'Mobility' is typically Green"
"01b359a3-d3b1-4dae-bd1f-8fff090e3d1c","Banded Reclining Hero Pose","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"20655dbf-b08e-4697-88a9-c984d4dda56f","Quadruped Neck Circles","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"2da2d14d-8c91-49bf-a16f-5a575be9c04d","Advanced Bird Dog","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"296ded27-26c7-42a8-8c04-a447a421e7f5","Infraspinatus Active Massage","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"254eeee2-7671-4c98-90cc-9c58c7c0b979","Quadruped Rock Back","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"5badf375-17db-492b-a5fb-4f7b524b3f4e","Gittleson Shrug","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"e75c1bdf-c3b9-4403-84f8-b54105316377","Reduced-volume sport practice.","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"c5af5690-b2aa-4623-bd68-8821f6c1fc3b","Shoulder Dislocations","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"60292614-56b8-4c10-b703-12e9305155a2","Knee To Heel Taps","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"1016091e-2e6f-44b6-8e2d-31f75d778da0","Dowel Shoulder Flexion","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"2cbd4522-0267-4a97-8236-5203faf08c4f","Pendulum Leg Swing","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"6d5c5ca7-b5ca-4efa-88de-5487d97499da","Ankle Crosses","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"c85bc4b8-360c-48db-8c14-c92ae2d42f8e","Dowel Pullovers","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"2a16584f-f2e4-43b3-b084-3fa980e5b281","Ghost Heads","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"9bead761-20a8-4560-9183-53ff9ecd7c87","Pillow Reclining Hero Pose","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
